id,genre
1,"Action Adventure,Fantasy"
2,"Sports,Alternative,Skateboarding"
3,"Action Adventure,Modern,Modern,Open-World"
4,"Action,Fighting,3D"
5,"Action,Platformer,Platformer,3D,3D"
6,"Action Adventure,Open-World"
7,"Action Adventure,Modern,Open-World"
8,"Modern,Action Adventure,Modern,Open-World"
9,"Action,Shooter,First-Person,Sci-Fi"
10,"Action Adventure,Modern"
11,"Action,Platformer,3D"
12,"Sports,Traditional,Football,Sim"
13,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
14,"Modern,Action Adventure,Open-World"
15,"Fantasy,Fantasy,Action Adventure,Open-World"
16,"Action,Shooter,First-Person,Modern"
17,"Action Adventure,Modern,Modern,Linear"
18,"Action Adventure,Horror"
19,"Action,Miscellaneous,Shooter,Compilation,First-Person,Sci-Fi"
20,"Action Adventure,Fantasy,Fantasy,Open-World"
21,"Role-Playing,Action RPG,Action RPG"
22,"Role-Playing,First-Person,First-Person,Western-Style"
23,"Driving,Racing,GT / Street"
24,"Miscellaneous,Compilation"
25,"Role-Playing,PC-style RPG,PC-style RPG,Western-Style"
26,"Action,Platformer,Platformer,3D,2D,3D"
27,"Action,Shooter,Third-Person,Historic,Action Adventure,Historic,Historic,Open-World"
28,"Modern,Adventure,General,Action Adventure,General,Modern"
29,"Action Adventure,Fantasy,General,Fantasy,Open-World"
30,"Role-Playing,Japanese-Style"
31,"Action Adventure,General,Modern"
32,"Action,Action Adventure,Shooter,Historic,Historic,Open-World,Third-Person,Historic"
33,"Modern,Modern,Action Adventure,Open-World"
34,"Miscellaneous,Puzzle,Action,Puzzle,General,Puzzle,General"
35,"Role-Playing,Console-style RPG"
36,"Action,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
37,"Action Adventure,Linear"
38,"Miscellaneous,Action Adventure,Fantasy,Fantasy,Compilation,Open-World"
39,"Action,Platformer,2D"
40,"Action,Shooter,Shooter,Third-Person,Sci-Fi,Sci-Fi,Arcade"
41,"Strategy,Turn-Based,Historic,General,Historic,4X"
42,"Action,Fighting,Fighting,3D,2D,3D"
43,"Adventure,General,General,3D,Third-Person,Fantasy"
44,"Driving,Racing,Arcade"
45,"Action Adventure,Modern,General,Modern"
46,"Role-Playing,Third-Person"
47,"Strategy,Turn-Based,Historic,Historic,4X"
48,"Action RPG,Role-Playing,Action RPG"
49,"Strategy,Real-Time,Historic,General,Historic"
50,"General,Action Adventure,Survival"
51,"Role-Playing,Western-Style"
52,"Adventure,General,Action,General,General,Arcade"
53,"Action,Fighting,2D"
54,"Action Adventure,General,Linear"
55,"Action,First-Person,Shooter,Arcade"
56,"Action RPG,Role-Playing,Western-Style"
57,"Action,Platformer,Platformer,2D,2D"
58,"Platformer,3D,Action,Platformer,3D"
59,"Strategy,Real-Time,Sci-Fi,Command"
60,"Sports,Alternative,Snowboarding"
61,"Action Adventure,Adventure,3D,Sandbox,First-Person,Fantasy,Fantasy"
62,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style"
63,"Strategy,Real-Time,Sci-Fi,Sci-Fi,General,Command"
64,"Sports,Traditional,Soccer,Sim"
65,"Driving,Racing,Kart"
66,"Action,Miscellaneous,Rhythm,Music,Music"
67,"Action,Beat-'Em-Up"
68,"Sports,Traditional,Basketball,Sim"
69,"Role-Playing,Third-Person,Third-Person,General"
70,"General,Modern,Action Adventure,Linear"
71,"Driving,Racing,Futuristic"
72,"Action Adventure,Survival"
73,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
74,"Miscellaneous,General,Application"
75,"Racing,Simulation,Automobile"
76,"Action Adventure,Fantasy,Fantasy,Linear"
77,"Sports,Traditional,Ice Hockey,Sim"
78,"Fantasy,Role-Playing,Action Adventure,General,Action RPG"
79,"Strategy,Real-Time,Fantasy,General,Fantasy"
80,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life"
81,"Strategy,Real-Time,Wargame,Real-Time,General"
82,"Sports,Traditional,Team,Soccer,Sim,Sim"
83,"Strategy,Turn-Based,Modern"
84,"Role-Playing,Action RPG"
85,"Adventure,3D,First-Person"
86,"Action,Shooter,Shooter,First-Person,Modern,Tactical,Modern"
87,"Action Adventure,Sci-Fi,Sci-Fi,Survival"
88,"Sports,Traditional,Tennis"
89,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
90,"Action Adventure,General"
91,"Role-Playing,General,Japanese-Style"
92,"Action Adventure,Fantasy,General,Fantasy"
93,"Strategy,Turn-Based,Fantasy,Fantasy,Tactics"
94,"Strategy,Real-Time,Historic,Historic,Command"
95,"Miscellaneous,Adventure,Compilation,Compilation,Point-and-Click"
96,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,4X"
97,"Driving,Racing,Snow / Water"
98,"Action,Fighting,Fighting,3D,2D,2D,3D"
99,"Miscellaneous,Rhythm,Music"
100,"Action,Adventure,General,Platformer,Platformer,3D,3D"
101,"Role-Playing,Action RPG,Console-style RPG,Action RPG"
102,"Action,Shooter,First-Person,Historic"
103,"Other,Racing,Arcade,Automobile"
104,"Miscellaneous,Action Adventure,Fantasy,Compilation,Compilation"
105,"Action,Action Adventure,Platformer,Fantasy,Platformer,2D,2D"
106,"Sports,Baseball,Sim,Team"
107,"Action Adventure,Sci-Fi"
108,"Sports,Traditional,Individual,Golf,Sim,Sim"
109,"Simulation,Flight,Civilian"
110,"Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade"
111,"Action,Miscellaneous,Shooter,Compilation,Compilation,First-Person,Sci-Fi"
112,"General,Action,Shooter,First-Person,Tactical"
113,"Driving,Racing,Simulation,Formula One,Formula One,Automobile"
114,"Simulation,Flight,WWII,WWII,Combat"
115,"Simulation,Sci-Fi,Space,Small Spaceship,Small Spaceship,Combat"
116,"Simulation,Sci-Fi,Small Spaceship"
117,"Action Adventure,Historic,Historic,Open-World"
118,"Driving,Car Combat"
119,"Action,Shooter,First-Person,Tactical"
120,"Action Adventure,Horror,Horror,Survival"
121,"Miscellaneous,Puzzle,Action,Puzzle,Puzzle,Action"
122,"Adventure,General"
123,"Role-Playing,Massively Multiplayer"
124,"Sports,Traditional,Team,Baseball,Sim,Sim"
125,"Adventure,Third-Person,Point-and-Click,Fantasy,Fantasy"
126,"Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard"
127,"Action,Shooter,Shooter,First-Person,Sci-Fi,Arcade"
128,"Role-Playing,Action RPG,Console-style RPG,Japanese-Style,Western-Style"
129,"Strategy,Real-Time,General"
130,"Action,Shooter,Shooter,First-Person,Tactical,Modern,Modern"
131,"Role-Playing,General,PC-style RPG,Western-Style"
132,"Role-Playing,General"
133,"Strategy,Turn-Based,General"
134,"Action RPG,Role-Playing,Action Adventure,General,Action RPG,Open-World"
135,"General,Miscellaneous,General"
136,"Driving,Racing,Arcade,Kart,Kart,Automobile"
137,"Action,Shooter,Shooter,First-Person,Third-Person,Historic,Tactical,Historic,Arcade"
138,"Sports,Traditional,Team,Football,Sim,Sim"
139,"Sports,Traditional,Golf,Arcade"
140,"Sports,Traditional,Team,Basketball,Sim,Sim"
141,"Simulation,Virtual,Virtual Life"
142,"Action,Action Adventure,Beat-'Em-Up,Fantasy,Beat-'Em-Up,Linear"
143,"Action,Shooter,Third-Person,Modern"
144,"Role-Playing,Action RPG,Console-style RPG,Console-style RPG,Japanese-Style"
145,"Driving,Racing,Simulation,Motorcycle,Automobile,Street,Street"
146,"Sports,Traditional,Basketball,Arcade"
147,"Puzzle,Stacking"
148,"Sports,Traditional,Baseball,Sim"
149,"Miscellaneous,Rhythm,Dancing"
150,"Sports,Traditional,Team,Ice Hockey,Sim,Sim"
151,"Strategy,Turn-Based,Modern,Modern,Tactics"
152,"Platformer,2D,Action,Platformer,2D"
153,"Puzzle,Action,General"
154,"Shooter,Scrolling,Action,General,Shooter,Scrolling,Shoot-'Em-Up,Vertical"
155,"Action Adventure,Sci-Fi,Sci-Fi,General"
156,"Action,Shooter,Rail"
157,"Action,General"
158,"Action,Fighting,Wrestling"
159,"Adventure,Text,Action,Platformer,Platformer,2D,2D"
160,"Simulation,Submarine,Submarine,Marine,Combat"
161,"Strategy,Real-Time,Fantasy"
162,"Fantasy,Fantasy,Action Adventure,General"
163,"Sports,Team,Basketball,Sim"
164,"Action,Shooter,Shooter,Static,Static,Shoot-'Em-Up,Top-Down"
165,"Driving,Kart,Racing,Arcade,Automobile"
166,"Simulation,Flight,Modern Jet,Modern Jet,Combat"
167,"Action,Action Adventure,Shooter,Sci-Fi,Sci-Fi,General,First-Person,Sci-Fi"
168,"Strategy,Turn-Based,General,Sci-Fi,Sci-Fi,General,Tactics"
169,"Simulation,Flight,Civilian Plane,Civilian"
170,"General,Fantasy,MOBA,Strategy,Real-Time,MOBA"
171,"General,Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Fantasy,Fantasy"
172,"Miscellaneous,Puzzle,Action,Puzzle,Action"
173,"Miscellaneous,Compilation,Compilation"
174,"Sports,Traditional,Golf,Sim"
